,ID,population_size,c1,c2,w,min_velocity,max_velocity,repair,n_estimator,criterion,max_feature
0,PAR-0000,89,3.518973115387473,3.008347181959377,0.5558800007836792,-2.390802902062923,3.199892658814274,limit_inverse,553,gini,log2
1,PAR-0001,44,0.1240354906685619,3.5165894110128817,0.7738633495492911,-3.3758170337110833,0.8663142063114215,reflect,382,gini,
2,PAR-0002,89,0.5502908206217634,1.8156910493326364,0.6489923514070706,-3.149275600858573,2.679379060695506,rand,553,entropy,sqrt
3,PAR-0003,90,3.8137375724761418,2.5688697759295396,0.8226320281219263,-2.022568184461976,6.618977912630735,wang,567,gini,sqrt
4,PAR-0004,67,2.846608311328028,3.792261542568077,0.824494760214767,-0.6959390889814348,7.636438647869724,limit,561,gini,sqrt
5,PAR-0005,72,4.0,4.0,0.0,0.0,10.0,limit,585,gini,
6,PAR-0006,78,4.0,4.0,1.0,0.0,0.0,limit,560,gini,
7,PAR-0007,91,1.6569234663267616,3.648323735011981,0.5916521964086273,-3.156264901587207,9.919835451138214,limit_inverse,563,entropy,sqrt
8,PAR-0008,62,0.9869192246687981,2.313763573806237,0.5513175761808364,-0.8369143148895546,7.72691655423025,rand,565,gini,
9,PAR-0009,90,3.890915006894227,2.4592087974549552,0.74238120749342,-2.1626085602590317,5.293085559972468,wang,563,gini,sqrt
10,PAR-0010,95,2.9384256672300353,0.7064717300655516,0.29074107714307296,-0.47646795646454443,6.4707938786611034,limit_inverse,565,entropy,
11,PAR-0011,88,3.5186130672273017,0.14639055616508445,0.5625257478946476,-0.06374298900250608,8.967061629780522,reflect,566,gini,sqrt
12,PAR-0012,87,2.287840203848302,1.8035728994319036,0.752865224246829,-2.1754837205235225,7.7569625920815,limit,563,gini,log2
13,PAR-0013,85,3.2759884945568074,1.3864854118490015,0.8868162287917182,-3.1787819372695463,7.307382957753257,rand,566,entropy,sqrt
14,PAR-0014,68,4.0,4.0,1.0,-0.7953508047880861,9.85476046563227,limit,557,entropy,sqrt
15,PAR-0015,87,3.946384032310969,3.0992216167107265,0.7888226591323644,-3.9984105041702103,6.725794970737447,reflect,561,gini,sqrt
16,PAR-0016,89,4.0,4.0,1.0,-7.056306643253797,6.554445804791749,reflect,565,gini,sqrt
17,PAR-0017,89,3.759696347952614,2.610290530163981,0.6284667831968805,-5.94587108655244,6.164486303808445,rand,555,entropy,sqrt
