,ID,population_size,alpha,beta0,gamma,theta,n_estimator,criterion,max_feature
0,FIR-0000,0.8917689509621813,75.21115868102953,0.06378945339560793,0.4953294691693303,0.3199892658814274,763.3105126957706,92.92803668673534,0.8911943611104965
1,FIR-0001,0.8958647271396394,57.02195515335964,0.7129389177264723,0.28812074272118926,0.6036268770462666,367.4545276024025,51.97817966647122,0.7857829646462213
2,FIR-0002,0.6743720387932108,59.659582603676455,0.11373033793015352,0.15276892641291168,0.8338414659725756,364.150752903457,49.659629272360874,0.9472975613691635
3,FIR-0003,0.7079606885587295,66.2232349243786,0.32479973126935413,0.8511194495803833,0.6019550719881833,541.5498642103188,25.066827221495732,0.6781951413251673
4,FIR-0004,0.7032384660382611,34.0229730511158,0.9932538960992084,0.9939138618829769,0.5059804079868697,105.62031352004034,60.33657029770949,0.5096846933125873
5,FIR-0005,0.27649163478338645,30.766072372408647,0.48282911315279564,0.9954420359212452,0.14022451320244245,643.875157401966,49.01872957933853,0.15335228387807287
6,FIR-0006,0.7880805871279015,0.45820465005433825,0.6262935118939748,0.20222478768986069,0.2666978099145194,928.248774209013,67.92641100614102,0.9204870884761767
7,FIR-0007,0.8971734750877367,26.280834213459613,0.8965965954387833,0.6095957764799698,0.784453182890899,889.6056539309703,33.832315980508724,0.609257099615243
8,FIR-0008,0.32636958088351,12.591622095467027,0.9108083935753903,0.22585737186037538,0.7809103566628781,600.7803557612336,85.24522731362538,0.23616418429504518
9,FIR-0009,0.8430472627708364,1.0626449926549664,0.6792486345187141,0.5183879681366368,0.09336178317212063,624.6938998221872,37.17004373535872,0.11090130752284366
10,FIR-0010,0.1951154870165916,75.89235016720642,0.029384842213786455,0.35875373737555083,0.7603685090418336,551.9328194541345,23.226634634641364,0.8364705535352945
11,FIR-0011,0.9192855546404185,85.20335927671381,0.7092398797069314,0.7071313442386068,0.329360604735801,178.76763721175632,17.431416778220914,0.533356985415274
12,FIR-0012,0.3786077500231735,31.942335907680704,0.2937955013498392,0.8770111662004206,0.7498565034438286,705.7855365039355,16.107558205064862,0.2348027896917932
13,FIR-0013,0.6744327921899946,10.319399685547683,0.03749599835802675,0.24374961584614946,0.9680526740202947,742.9235088802635,55.38783334059669,0.8831937320040149
14,FIR-0014,0.7061067782614784,79.42472427636146,0.6359771040685663,0.6501073506643659,0.7902808220693975,991.0330900657599,87.27419047601926,0.4260908157769552
15,FIR-0015,0.9686261763929263,85.44920472642671,0.3451677312322349,0.3551428526604272,0.294513666727097,177.30131023236433,15.88764657750015,0.11680395746423827
16,FIR-0016,0.11740393406749305,29.158293135569906,0.06325754873039369,0.6585790162079385,0.2715682547333832,921.3518375648916,55.22579466586256,0.8207518668312528
17,FIR-0017,0.4671228117816313,10.041879692625137,0.6444295373852155,0.607685593127528,0.34220368101396537,676.3157486065351,88.14540047560254,0.9044096558369307
18,FIR-0018,0.548090700287987,66.58459839200712,0.7424052863806939,0.48501031132084427,0.8638411675631134,158.02369527766177,44.074716551169075,0.9010812452488418
19,FIR-0019,0.7742142803251916,40.348603131261555,0.48343816262900763,0.23761419798404804,0.6565656897463756,838.6032928202586,93.0882277728423,0.13585228577626343
20,FIR-0020,0.9502770758176443,99.38286524713672,0.8655760850239276,0.343644711852245,0.25174334695114065,902.5063515330728,27.76649525186688,0.8088343473436839
21,FIR-0021,0.9332474444709279,65.64822381978098,0.8731693466338855,0.7517750467373789,0.14060969235978993,227.27082490807956,97.13049635093681,0.11198159657912046
22,FIR-0022,0.6051848540356742,75.76683909627849,0.31187914241311643,0.5553865186709723,0.21472677901413084,815.1634676790612,98.27991881976736,0.1535813877213907
23,FIR-0023,0.2123447743857329,84.36629942966935,0.27464392870239107,0.45518223125617663,0.9863754836189882,279.6309969371214,54.23033123747081,0.34692664884229846
