,ID,population_size,c1,c2,w,min_velocity,max_velocity,repair,n_estimator,criterion,max_feature
0,PAR-0000,3.518973115387473,3.008347181959377,0.06378945339560793,0.43925496574370027,3.199892658814274,-2.390802902062923,922.2084035540888,89.11943611104965,1.953630094785404,0.5558800007836792
1,PAR-0001,0.1240354906685619,3.5165894110128817,0.06914434830386129,0.8460313135333087,0.8663142063114215,-3.3758170337110833,634.9153284760455,44.11573665615717,4.768509724483719,0.7738633495492911
2,PAR-0002,0.5502908206217634,1.8156910493326364,0.5279214404773366,0.16388023002829588,2.679379060695506,-3.149275600858573,921.811644546267,89.07930363580314,3.754754152228908,0.6489923514070706
3,PAR-0003,2.3007276274227038,3.48813523106206,0.7137186440194648,0.13623268139862965,9.101224112331858,-6.49064316928749,10.459413768903,86.72758605140356,1.9932509509514573,0.23173528882204275
4,PAR-0004,3.7621624776843086,3.0660296951739956,0.28658176290836734,0.355426204253143,7.706558959116955,-5.954031897496778,998.9333843079952,13.232982159495224,3.918563410450106,0.8658664226976458
5,PAR-0005,1.109812068700751,1.852573325329967,0.8086087453084103,0.8009002548827246,6.922379548760364,-7.061525605476831,996.3973139383406,99.44284106454651,1.6304492293047468,0.9068542069272985
6,PAR-0006,2.1825157013857512,0.43503853166967366,0.601311110092497,0.13808449778369247,7.0922203393400585,-6.392522836159133,917.528790851184,11.3045391888209,4.544484099958368,0.30174870132076537
7,PAR-0007,2.4823863223022222,2.4568224821998337,0.6264600292797797,0.14957664871654797,2.450203135413944,-8.886412062497177,853.4750081536911,10.71747259400675,2.9789807430387927,0.021362124466767662
8,PAR-0008,1.7334806505542457,3.4939068412450087,0.0017956644803593935,0.0639359291356636,4.47709109769341,-2.699868134454393,324.3884619227075,11.162498363553484,1.7442338939455593,0.21439647060611966
9,PAR-0009,3.8949139864055455,1.293998832891425,0.0813935096435362,0.3280728821099954,0.6579694783739765,-1.877398352514069,887.5825639661649,10.023976723201619,1.9733652956219512,0.08343462130733004
10,PAR-0010,1.065582345680646,0.3590074961863512,0.7057168769522508,0.290039225507161,6.543029759457922,-9.159971172401942,941.6593243408456,13.040188411506978,4.578570108025304,0.14070534671320967
11,PAR-0011,1.301184647765838,3.7064265415722977,0.2754478463959893,0.3544546160703589,9.922315013902969,-0.8144128042896259,918.2631715561403,32.45980494295175,1.8885546055480318,0.3478699785954883
12,PAR-0012,1.605877695372269,3.1248677667924754,0.6251978255209836,0.627657016464431,8.450414053481193,-9.811862812065469,830.0023875873602,12.292150724757693,0.7569997213712931,0.976383237960032
13,PAR-0013,1.8099186813167405,3.4281467381375377,0.3332418571718704,0.5956095840278409,0.4079338178535341,-9.830229000737493,839.2614887175506,35.51424281689923,2.2297478909034805,0.23100297745472242
14,PAR-0014,0.38331019659932153,2.2683052499471392,0.38363671295836765,0.09344780994456248,7.940556672070342,-4.681180922137499,802.9061569644768,11.281249367074528,1.3764321602157175,0.7656359150656759
15,PAR-0015,2.86266156060178,2.445385426315463,0.38024123723907943,0.5714817883047271,1.2383710722277586,-9.6102048260969,921.8790971628775,13.443300002003303,1.1103727456138401,0.7927988574219512
16,PAR-0016,3.315367588815253,1.89484927972229,0.10532608002968691,0.3379860422641848,5.469607822018352,-6.394919715181732,906.4160548273894,11.177780291517257,4.626064034412079,0.6157006820351557
17,PAR-0017,0.5830908529219481,1.0197132400064484,0.4284592501664771,0.6019601594150775,6.414270921326351,-3.1203997540103288,919.7461380298035,12.837401103998646,0.5688677335166104,0.8593895423796154
18,PAR-0018,0.9915428028369293,0.26019082799057625,0.16452221910303444,0.053347048432112576,4.404209755228131,-9.754523080458487,918.4742525039838,11.378708016744557,3.79196008385144,0.42855286872569187
19,PAR-0019,3.2847253052462597,3.354364847195117,0.6274482034638873,0.4624700065922498,6.094034762974259,-0.3894799436487819,192.2404334993636,65.17886398811791,0.4776044331972479,0.6271643179645877
20,PAR-0020,2.262423473293144,1.4283325603689074,0.32918656989913175,0.8105655519454174,4.244857641571407,-9.444589400688505,441.80525017228445,18.02514458010884,3.8782128314429833,0.13314890869509666
21,PAR-0021,0.9981423577590038,0.5113021438538676,0.5628884627431501,0.09632690530903365,5.344901667618234,-4.278186575158704,688.5203680159065,92.14725216999202,1.5993408832256013,0.6445110102534299
